Vehicle,Seats,CC,4WD,Economy/100K,Engine type,Kms,Auto/CVT/Man,Year,Cost
Outlander,7,2360,,,PHEV,0,1,2023,68990
Outlander,7,2488,,,2.5 P XLS,0,2,2022,47450
Outlander,7,2488,1,,VRX 2.5P,12000,2,2022,52990
Outlander,7,2000,0,7.4,2 P,27000,1,2012,18990
Outlander,7,2400,1,,2.4P,102000,1,2014,19990
Outlander,7,2360,1,10.4,P,262108,1,2009,6950
Outlander,7,2360,1,9.7,P,118737,1,2008,10500
Outlander,7,2360,1,9.7,P,127222,1,2005,10995
Outlander,7,2400,1,9.7,P,84000,1,2007,12450
Outlander,7,2400,1,9.7,P,49350,1,2005,12550
Outlander,7,2400,,9.7,P,82600,1,2006,12995
Outlander,7,2360,1,8.3,P,169000,1,2013,13499
Outlander,7,2400,1,9.7,P,85600,1,2008,13980
Outlander,7,2000,1,9,P,88882,1,2010,14770
Outlander,7,2360,1,10.4,P,134297,1,2012,14995
Outlander,7,2400,,9,P,53192,1,2009,15970
Outlander,7,2360,1,8,P,216613,1,2016,16500
Outlander,7,2360,1,7.7,P,154700,1,2014,16995
Outlander,7,1998,,7.6,P,140207,1,2017,20990
Outlander,7,1998,,7.6,P,144000,1,2017,21000
Outlander,7,2360,,8,P,137000,1,2016,21500
Outlander,7,2400,1,7.7,P,70354,1,2014,22980
Outlander,7,2000,,7.6,P,83181,1,2018,24750
Outlander,7,1998,,7.6,P,113230,1,2017,24850
Outlander,7,2360,,8,P,100195,1,2015,24990
